Geburtsland;Geburtsort;Geburtsort korrigiert;Geburtsort_Land kombiniert;Anzahl Personen;Notizen;Lat_Bing;Long_Bing;Distanz zu Düsseldorf
Nordrhein-Westfalen;Warendorf Stadt;Warendorf ;Warendorf , Nordrhein-Westfalen;224;;51,94269943;7,981440067;
Nordrhein-Westfalen;Warstein Stadt;Warstein ;Warstein , Nordrhein-Westfalen;141;;51,43190002;8,343640327;
Nordrhein-Westfalen;Werdohl Stadt;Werdohl ;Werdohl , Nordrhein-Westfalen;115;;51,25979996;7,757530212;
Nordrhein-Westfalen;Wermelskirchen Stadt;Wermelskirchen ;Wermelskirchen , Nordrhein-Westfalen;196;;51,1393013;7,228779793;
Nordrhein-Westfalen;Werne Stadt;Werne ;Werne , Nordrhein-Westfalen;146;;51,67129898;7,629179955;
Nordrhein-Westfalen;Wesel Stadt;Wesel ;Wesel , Nordrhein-Westfalen;951;;51,65879822;6,610079765;
Nordrhein-Westfalen;Wickede Ruhr;Wickede Ruhr;Wickede Ruhr, Nordrhein-Westfalen;158;;51,49980164;7,850669861;
Nordrhein-Westfalen;Willich Stadt;Willich ;Willich , Nordrhein-Westfalen;467;;51,25899887;6,548789978;
Nordrhein-Westfalen;Wipperfürth Hansestadt;Wipperfürth;Wipperfürth, Nordrhein-Westfalen;179;;51,12020111;7,400179863;
Nordrhein-Westfalen;Witten Stadt;Witten ;Witten , Nordrhein-Westfalen;454;;51,43399811;7,344950199;
Nordrhein-Westfalen;Wülfrath Stadt;Wülfrath ;Wülfrath , Nordrhein-Westfalen;180;;51,28430176;7,054289818;
Nordrhein-Westfalen;Wuppertal Stadt;Wuppertal ;Wuppertal , Nordrhein-Westfalen;4181;;51,27154922;7,196559906;
Nordrhein-Westfalen;Xanten Stadt;Xanten ;Xanten , Nordrhein-Westfalen;112;;51,65319824;6,451089859;
Rheinland-Pfalz;Andernach Stadt;Andernach ;Andernach , Rheinland-Pfalz;107;;50,42610168;7,415299892;
Rheinland-Pfalz;Bad Kreuznach Stadt;Bad Kreuznach ;Bad Kreuznach , Rheinland-Pfalz;166;;49,82559967;7,868330002;
Rheinland-Pfalz;Bad NeuenahrAhrweiler Stadt;Bad Neuenahr-Ahrweiler ;Bad Neuenahr-Ahrweiler , Rheinland-Pfalz;113;;50,54500961;7,101709843;
Rheinland-Pfalz;Gerolstein Stadt;Gerolstein ;Gerolstein , Rheinland-Pfalz;116;;50,21680069;6,661049843;
Rheinland-Pfalz;Kaiserslautern Stadt;Kaiserslautern ;Kaiserslautern , Rheinland-Pfalz;166;;49,44329834;7,755539894;
Rheinland-Pfalz;Kirchen Sieg Stadt;Kirchen (Sieg);Kirchen (Sieg), Rheinland-Pfalz;144;;50,8064003;7,884829998;
Rheinland-Pfalz;Koblenz Stadt;Koblenz ;Koblenz , Rheinland-Pfalz;629;;50,36130142;7,587659836;
Rheinland-Pfalz;Ludwigshafen am Rhein Stadt;Ludwigshafen am Rhein ;Ludwigshafen am Rhein , Rheinland-Pfalz;212;;49,48094177;8,447299957;
Rheinland-Pfalz;Mainz Stadt;Mainz ;Mainz , Rheinland-Pfalz;524;;50,00061035;8,272279739;
Rheinland-Pfalz;Mayen Stadt;Mayen ;Mayen , Rheinland-Pfalz;129;;50,33269882;7,226399899;
Rheinland-Pfalz;Neuwied Stadt;Neuwied ;Neuwied , Rheinland-Pfalz;336;;50,44189835;7,474229813;
Rheinland-Pfalz;Prüm Stadt;Prüm ;Prüm , Rheinland-Pfalz;119;;50,20864;6,419275;
Rheinland-Pfalz;Speyer Stadt;Speyer ;Speyer , Rheinland-Pfalz;136;;49,31000137;8,425359726;
Rheinland-Pfalz;Trier Stadt;Trier ;Trier , Rheinland-Pfalz;661;;49,75733948;6,636199951;
Rheinland-Pfalz;Wittlich Stadt;Wittlich ;Wittlich , Rheinland-Pfalz;118;;49,98379898;6,8895998;
Rheinland-Pfalz;Worms Stadt;Worms ;Worms , Rheinland-Pfalz;116;;49,62779999;8,356789589;
Saarland;Saarbrücken Landeshauptstadt;Saarbrücken;Saarbrücken, Saarland;472;;49,23149109;6,998330116;
Sachsen;BAUTZEN;Bautzen;Bautzen, Sachsen;104;;51,17689896;14,42910004;
Sachsen;CHEMNITZ;Chemnitz;Chemnitz, Sachsen;540;;50,83620071;12,93700027;
Sachsen;DRESDEN;Dresden;Dresden, Sachsen;1073;;51,05363083;13,74081039;
Sachsen;FREIBERG;Freiberg;Freiberg, Sachsen;114;;50,91059875;13,34889984;
Sachsen;GÖRLITZ;Görlitz;Görlitz, Sachsen;230;;51,12950134;14,98349953;
Sachsen;HOYERSWERDA;Hoyerswerda;Hoyerswerda, Sachsen;105;;51,43901825;14,24427986;
Sachsen;LEIPZIG;Leipzig;Leipzig, Sachsen;1243;;51,34519958;12,3859396;
Sachsen;MEIßEN;Meißen;Meißen, Sachsen;105;;51,162428;13,494248;
Sachsen;PLAUEN;Plauen;Plauen, Sachsen;110;;50,4978981;12,16699982;
Sachsen;ZWICKAU;Zwickau;Zwickau, Sachsen;213;;50,71789932;12,45730019;
Sachsen-Anhalt;BERNBURG;Bernburg;Bernburg, Sachsen-Anhalt;111;;51,79546738;11,73930645;
Sachsen-Anhalt;DESSAU;Dessau;Dessau, Sachsen-Anhalt;267;;51,8360405;12,24283028;
Sachsen-Anhalt;HALBERSTADT;Halberstadt;Halberstadt, Sachsen-Anhalt;120;;51,90999985;11,02680016;
Sachsen-Anhalt;HALLE (SAALE);Halle (Saale);Halle (Saale), Sachsen-Anhalt;600;;51,45669937;11,96720028;
Sachsen-Anhalt;HINDENBURG;Hindenburg;Hindenburg, Sachsen-Anhalt;457;;52,7537117;11,93013954;
Sachsen-Anhalt;KÖTHEN;Köthen;Köthen, Sachsen-Anhalt;103;;51,75;11,97119999;
Sachsen-Anhalt;MAGDEBURG;Magdeburg;Magdeburg, Sachsen-Anhalt;717;;52,13185883;11,62777996;
Sachsen-Anhalt;MERSEBURG;Merseburg;Merseburg, Sachsen-Anhalt;120;;51,33229828;11,99250031;
Sachsen-Anhalt;STENDAL;Stendal;Stendal, Sachsen-Anhalt;142;;52,60530853;11,85071659;
Sachsen-Anhalt;STOLBERG;Stolberg;Stolberg, Sachsen-Anhalt;112;;51,57344818;10,95503044;
Sachsen-Anhalt;WERNIGERODE;Wernigerode;Wernigerode, Sachsen-Anhalt;102;;51,84090042;10,80749989;
Sachsen-Anhalt;WITTENBERG;Wittenberg;Wittenberg, Sachsen-Anhalt;174;;51,8676796;12,64865971;
Schleswig-Holstein;Eutin Stadt;Eutin ;Eutin , Schleswig-Holstein;105;;54,13729858;10,6086998;
Schleswig-Holstein;Flensburg Stadt;Flensburg ;Flensburg , Schleswig-Holstein;271;;54,79779816;9,477919579;
Schleswig-Holstein;Itzehoe Stadt;Itzehoe ;Itzehoe , Schleswig-Holstein;104;;53,99000168;9,571260452;
Schleswig-Holstein;Kiel Landeshauptstadt;Kiel;Kiel, Schleswig-Holstein;735;;54,32324982;10,1322403;
Schleswig-Holstein;Lübeck Hansestadt;Lübeck;Lübeck, Schleswig-Holstein;458;;53,86626816;10,68087959;
Schleswig-Holstein;Neumünster Stadt;Neumünster ;Neumünster , Schleswig-Holstein;180;;54,07014084;9,987830162;
Schleswig-Holstein;Rendsburg Stadt;Rendsburg ;Rendsburg , Schleswig-Holstein;129;;54,29779816;9,666950226;
Schleswig-Holstein;Schleswig Stadt;Schleswig ;Schleswig , Schleswig-Holstein;122;;54,53390121;9,562609673;
Thüringen;Altenburg Stadt;Altenburg ;Altenburg , Thüringen;113;;50,98659897;12,43980026;
Thüringen;Erfurt Stadt;Erfurt ;Erfurt , Thüringen;511;;51,02830124;11,03960037;
Thüringen;Gera Stadt;Gera ;Gera , Thüringen;236;;50,87979889;12,11330032;
Thüringen;Gotha Stadt;Gotha ;Gotha , Thüringen;123;;50,94260025;10,70180035;
Thüringen;Jena Stadt;Jena ;Jena , Thüringen;286;;50,92039871;11,59070015;
Thüringen;Nordhausen Stadt;Nordhausen ;Nordhausen , Thüringen;115;;51,50310135;10,80130005;
Afghanistan;HERAT;Herat;Herat, Afghanistan;121;;34,34376144;62,18511963;
Afghanistan;KABUL;Kabul;Kabul, Afghanistan;586;;34,53155136;69,12535095;
Ägypten;KAIRO;Kairo;Kairo, Ägypten;180;;30,04541969;31,2421093;
Argentinien;BUENOS AIRES;Buenos Aires;Buenos Aires, Argentinien;142;;-34,61455536;-58,44587708;
Aserbaidschan;BAKU;Baku;Baku, Aserbaidschan;218;;40,41059875;49,8722496;
Belgien;BRÜSSEL;Brüssel;Brüssel, Belgien;103;;50,84270096;4,378109932;
Bosnien und Herzegowina;SARAJEVO;Sarajevo;Sarajevo, Bosnien und Herzegowina;246;;43,85942078;18,4357605;
Bosnien und Herzegowina;TUZLA;Tuzla;Tuzla, Bosnien und Herzegowina;160;;44,53680038;18,69599915;
Bosnien und Herzegowina;ZENICA;Zenica;Zenica, Bosnien und Herzegowina;106;;44,19469833;17,93720055;
Brasilien;RIO DE JANEIRO;Rio de Janeiro;Rio de Janeiro, Brasilien;105;;-22,91216087;-43,17501068;
Brasilien;SAO PAULO;Sao Paulo;Sao Paulo, Brasilien;111;;-23,56283951;-46,6546402;
Bulgarien;PLOVDIV;Plowdiw;Plowdiw, Bulgarien;149;;42,13619995;24,75530052;
Bulgarien;SOFIA;Sofia;Sofia, Bulgarien;362;;42,67819214;23,39904404;
Bulgarien;STARA ZAGORA;Stara Sagora;Stara Sagora, Bulgarien;102;;42,42272949;25,6354599;
Bulgarien;VARNA;Warna;Warna, Bulgarien;127;;43,21670151;27,91670036;
China;BEIJING;Beijing;Beijing, China;125;;39,90657043;116,3876495;
China;GUANGDONG;Guangdong;Guangdong, China;178;;23,20279884;113,3743896;
China;HENAN;Henan;Henan, China;112;;33,86470795;113,5865707;
China;HONG KONG;Hong Kong;Hong Kong, China;145;;22,33615685;114,1869659;
China;HUBEI;Hubei;Hubei, China;202;;30,94911957;112,2711334;
China;HUNAN;Hunan;Hunan, China;125;;27,58358383;111,6998444;
China;JIANGSU;Jiangsu;Jiangsu, China;248;;33,01850128;119,4911652;
China;LIAONING;Liaoning;Liaoning, China;171;;41,17638397;122,5526962;
China;SHANDONG;Shandong;Shandong, China;193;;36,37627029;118,3159714;
China;SHANGHAI;Shanghai;Shanghai, China;379;;31,22414589;121,5161362;
China;SICHUAN;Sichuan;Sichuan, China;145;;30,60892487;102,7037048;
China;ZHEJIANG;Zhejiang;Zhejiang, China;207;;29,19950485;120,4452667;
Eritrea;ASMARA;Asmara;Asmara, Eritrea;136;;15,33298969;38,92047119;
Frankreich;PARIS;Paris;Paris, Frankreich;503;;48,85692978;2,341200113;
Georgien;TIFLIS;Tiflis;Tiflis, Georgien;241;inklusive 100 für Tbilisi;41,72565079;44,79304886;
Ghana;ACCRA;Accra;Accra, Ghana;621;;5,581069946;-0,198970005;
Ghana;KUMASI;Kumasi;Kumasi, Ghana;447;;6,697450161;-1,629840016;
Griechenland;ATHEN;Athen;Athen, Griechenland;440;;37,99280167;23,76950073;
Griechenland;DRAMA;Drama;Drama, Griechenland;155;;41,15729904;24,15089989;
Griechenland;IOANNINA;Ioannina;Ioannina, Griechenland;100;;39,64730072;20,84140015;
Griechenland;KOMOTINI;Komotini;Komotini, Griechenland;215;;41,11589813;25,39380074;
Griechenland;SERRES;Serres;Serres, Griechenland;274;;41,09090042;23,56451035;
Griechenland;THESSALONIKI;Thessaloniki;Thessaloniki, Griechenland;547;;40,64839935;22,93530083;
Griechenland;XANTHI;Xanthi;Xanthi, Griechenland;103;;41,14089966;24,88660049;
Irak;BAGDAD;Bagdad;Bagdad, Irak;352;;33,34180069;44,39350128;
Irak;MOSUL;Mosul;Mosul, Irak;113;;36,32460022;43,11709976;
Iran;AHVAZ;Ahvaz;Ahvaz, Iran;136;;31,31671333;48,68438339;
Iran;ESFAHAN;Isfahan;Isfahan, Iran;121;;32,65085983;51,68386078;
Iran;MASHHAD;Meschhed;Meschhed, Iran;100;;36,28292084;59,59812164;
Iran;SHIRAZ;Schiras;Schiras, Iran;168;;29,59100914;52,53059006;
Iran;TEHERAN;Teheran;Teheran, Iran;2613;;35,68954086;51,4146843;
Irland;DUBLIN;Dublin;Dublin, Irland;121;;53,33309937;-6,248889923;
Italien;MAILAND;Mailand;Mailand, Italien;104;;45,45199966;9,192770004;
Italien;NEAPEL;Neapel;Neapel, Italien;264;inklusive 112 für Napoli;40,84769821;14,26259995;
Italien;PALERMO;Palermo;Palermo, Italien;220;;38,11709976;13,35289955;
Italien;PARTINICO;Partinico;Partinico, Italien;133;;38,04809952;13,12150002;
Italien;ROM;Rom;Rom, Italien;173;;41,90304947;12,49580002;
Japan;AICHI;Aichi;Aichi, Japan;212;;34,9705162;137,1820679;
Japan;CHIBA;Chiba;Chiba, Japan;168;;35,45575333;140,2040863;
Japan;FUKUOKA;Fukuoka;Fukuoka, Japan;124;;33,5839653;130,4128571;
Japan;HYOGO;Hyogo;Hyogo, Japan;171;;34,92504883;134,8162231;
Japan;KANAGAWA;Kanagawa;Kanagawa, Japan;267;;35,37968063;139,3903961;
Japan;KYOTO;Kyoto;Kyoto, Japan;131;;35,32315063;135,4155884;
Japan;OSAKA;Osaka;Osaka, Japan;382;;34,67752075;135,5129089;
Japan;SAITAMA;Saitama;Saitama, Japan;158;;35,86591339;139,6446075;
Japan;TOKIO;Tokio;Tokio, Japan;956;"inklusive 507 für ""Tokyo""";35,68320847;139,8089447;
Mazedonien;KUMANOVO;Kumanovo;Kumanovo, Mazedonien;420;;42,13668823;21,7177906;
Kasachstan;ALMA-ATA;Almaty;Almaty, Kasachstan;176;;43,25051117;76,88812256;
Kasachstan;KARAGANDA;Karaganda;Karaganda, Kasachstan;341;;49,78739929;73,14820099;
Kasachstan;PAWLODAR;Pawlodar;Pawlodar, Kasachstan;158;;52,33044052;76,96981812;
Kolumbien;BOGOTA;Bogota;Bogota, Kolumbien;124;;4,31533432;-74,17960358;
Kongo, Dem.Republik (Zaire);KINSHASA;Kinshasa;Kinshasa, Kongo, Dem.Republik (Zaire);167;;-4,4419311;15,2662931;
Korea, Republik;SEOUL;Seoul;Seoul, Korea, Republik;744;;37,566535;126,9779692;
Kroatien;SPLIT;Split;Split, Kroatien;103;;43,5141983;16,4314003;
Kroatien;ZAGREB;Zagreb;Zagreb, Kroatien;386;;45,80189896;15,94709969;
Lettland;RIGA;Riga;Riga, Lettland;327;;57,02769852;24,04470062;
Libanon;BEIRUT;Beirut;Beirut, Libanon;190;;33,89606857;35,50677872;
Libanon;TRIPOLI;Tripoli;Tripoli, Libanon;177;;34,44100189;35,85499954;
Marokko;BEN TAIEB;Ben Taieb;Ben Taieb, Marokko;102;;35,04399872;-3,45904994;
Marokko;BENI OULICHEK;Beni Oulichek;Beni Oulichek, Marokko;227;;35,08459854;-3,443190098;
Marokko;BENI SIDEL;Beni Sidel;Beni Sidel, Marokko;173;;35,12939835;-3,123670101;
Marokko;BENI TOUZINE;Beni Touzine;Beni Touzine, Marokko;181;;35,7397995;-5,846680164;
Marokko;BENI TOUZINE/NADOR;Nador;Nador, Marokko;105;"""=Nador?""";35,17979813;-2,926179886;
Marokko;CASABLANCA;Casablanca;Casablanca, Marokko;295;;33,58848953;-7,677189827;
Marokko;FES;Fes;Fes, Marokko;126;;34,0428009;-5,015520096;
Marokko;KENITRA;Kenitra;Kenitra, Marokko;178;;34,25439835;-6,605750084;
Marokko;MIDAR;Midar;Midar, Marokko;157;;34,94766998;-3,529510021;
Marokko;NADOR;Nador;Nador, Marokko;687;"inklusive 107 für ""Nafor/Marokko""";35,17979813;-2,926179886;
Marokko;OUJDA;Oujda;Oujda, Marokko;264;;34,67359924;-1,942440033;
Marokko;RABAT;Rabat;Rabat, Marokko;169;;34,02088928;-6,841639996;
Marokko;TANGER;Tanger;Tanger, Marokko;132;;35,74900055;-5,810929775;
Marokko;TEMSAMANE;Temsamane;Temsamane, Marokko;117;;35,11444092;-3,641530037;
Mazedonien;SKOPJE;Skopje;Skopje, Mazedonien;1310;;41,99473953;21,42999077;
Mazedonien;TETOVO;Tetovo;Tetovo, Mazedonien;226;;42,00880051;20,97660065;
Mexiko;MEXIKO-STADT;Mexiko-Stadt;Mexiko-Stadt, Mexiko;169;;19,27938652;-99,134758;
Moldawien;CHISINAU;Chisinau;Chisinau, Moldawien;128;;47,03770065;28,81229973;
Niederlande;AMSTERDAM;Amsterdam;Amsterdam, Niederlande;148;;52,33069992;4,866539955;
Nigeria;BENIN CITY;Benin City;Benin City, Nigeria;105;;6,333940029;5,624499798;
Nigeria;LAGOS;Lagos;Lagos, Nigeria;127;;6,60160017;3,396859884;
Österreich;WIEN;Wien;Wien, Österreich;433;;48,20842743;16,37782097;
Peru;LIMA;Lima;Lima, Peru;139;;-12,05613995;-77,02680206;
Polen;ALLENSTEIN;Allenstein;Allenstein, Polen;615;inklusive 107 für Allenstein/Ostpreußen und 117 für Olsztyn;53,7737999;20,51469994;
Polen;BEUTHEN;Beuthen;Beuthen, Polen;655;inklusive 117 für Beuthen/Oberschlesien;50,34809875;18,93280029;
Polen;BRESLAU;Breslau;Breslau, Polen;1370;inklusive 227 für Wroclaw;51,1106987;17,04299927;
Polen;BROMBERG;Bromberg;Bromberg, Polen;341;inklusive 126 für BYDGOSZCZ;53,13349915;18,02750015;
Polen;DANZIG;Danzig;Danzig, Polen;641;;54,32889938;18,625;
Polen;ELBING;Elbing;Elbing, Polen;129;;54,17919922;19,39509964;
Polen;ELK;Elk;Elk, Polen;222;;53,82939911;22,37470055;
Polen;GLEIWITZ;Gleiwitz;Gleiwitz, Polen;416;;50,29270172;18,6678009;
Polen;GROß STREHLITZ;Groß Strehlitz;Groß Strehlitz, Polen;220;;50,51047;18,299965;
Polen;HINDENBURG;Hindenburg;Hindenburg, Polen;100;;50,30569839;18,75510025;
Polen;KATTOWITZ;Kattowitz;Kattowitz, Polen;678;;50,25608826;19,03095055;
Polen;KÖNIGSHÜTTE;Königshütte;Königshütte, Polen;349;;50,26433945;18,93671036;
Polen;KRAKAU;Krakau;Krakau, Polen;127;;50,07339859;20,03590012;
Polen;LAURAHÜTTE;Laurahütte;Laurahütte, Polen;129;;50,30279922;19,00760078;
Polen;LODZ;Lodz;Lodz, Polen;210;;51,78829956;19,46839905;
Polen;OPPELN;Oppeln;Oppeln, Polen;472;;50,67839813;17,94720078;
Polen;PEISKRETSCHAM;Peiskretscham;Peiskretscham, Polen;104;;50,38869858;18,62779999;
Polen;POSEN;Posen;Posen, Polen;157;;52,35572815;16,85575676;
Polen;RATIBOR;Ratibor;Ratibor, Polen;324;;50,09799957;18,2241993;
Polen;RYBNIK;Rybnik;Rybnik, Polen;105;;50,08982849;18,53274918;
Polen;STETTIN;Stettin;Stettin, Polen;502;;53,42520142;14,55620003;
Polen;SWIDNICA;Swidnica;Swidnica, Polen;211;;50,84090042;16,48740005;
Polen;TARNOWITZ;Tranowitz;Tranowitz, Polen;196;;50,44319916;18,85720062;
Polen;WARSCHAU;Warschau;Warschau, Polen;259;;52,22874832;21,00625038;
Portugal;LISSABON;Lissabon;Lissabon, Portugal;115;;38,71699905;-9,138640404;
Rumänien;BACAU;Bacau;Bacau, Rumänien;145;;46,58250046;26,90509987;
Rumänien;BUKAREST;Bukarest;Bukarest, Rumänien;709;inklusive 110 für Bukarest/Rumänien;44,43429184;26,10296059;
Rumänien;CONSTANTA;Constanta;Constanta, Rumänien;129;;44,15399933;28,61849976;
Rumänien;IASI;Iasi;Iasi, Rumänien;105;;47,16669846;27,55380058;
Rumänien;TIMISOARA;Timisoara;Timisoara, Rumänien;163;;45,75553513;21,23749924;
Russische Föderation;KÖNIGSBERG;Königsberg;Königsberg, Russische Föderation;470;inklusive 135 für Königsberg/Ostpreußen;54,7090416;20,50595093;
Russische Föderation;LENINGRAD;Leningrad;Leningrad, Russische Föderation;255;;59,92887497;30,22154617;
Russische Föderation;MOSKAU;Moskau;Moskau, Russische Föderation;1240;;55,75696945;37,61502075;
Russische Föderation;OMSK;Omsk;Omsk, Russische Föderation;241;;54,99414063;73,36470795;
Russische Föderation;ST. PETERSBURG;St. Petersburg;St. Petersburg, Russische Föderation;615;inklusive 106 für St.Petersburg und 101 für Sankt Petersburg und 255 für Leningrad;59,92887497;30,22154617;
Russische Föderation;TSCHELJABINSK;Tscheljabinsk;Tscheljabinsk, Russische Föderation;145;;55,16305923;61,38861084;
Schweiz;ZÜRICH;Zürich;Zürich, Schweiz;100;;47,36560059;8,505949974;
Serbien;BELGRAD;Belgrad;Belgrad, Serbien;1084;inklusive 252 für Beograd;44,81309891;20,46326065;
Kosovo;PRISTINA;Pristina;Pristina, Kosovo;160;;42,66379929;21,16620064;
Kosovo;PRIZREN;Prizren;Prizren, Kosovo;191;;42,21760178;20,73349953;
Serbien;SABAC;Sabac;Sabac, Serbien;125;;44,75851059;19,70169067;
Kosovo;FERIZAJ;Ferizaj;Ferizaj, Kosovo;129;;42,37007904;21,15166855;
Spanien;BARCELONA;Barcelona;Barcelona, Spanien;316;;41,375;2,157589912;
Spanien;MADRID;Madrid;Madrid, Spanien;437;;40,42028046;-3,705770016;
Sri Lanka;JAFFNA;Jaffna;Jaffna, Sri Lanka;134;;9,658760071;80,01898956;
Syrien;ALEPPO;Aleppo;Aleppo, Syrien;503;;36,22185135;37,13188171;
Syrien;DAMASKUS;Damaskus;Damaskus, Syrien;573;inklusive 102 für Damascus;33,5165596;36,31708145;
Syrien;DARAA;Daraa;Daraa, Syrien;105;;32,61819839;36,10512924;
Syrien;HASAKA;Hasaka;Hasaka, Syrien;134;;36,49594879;40,76530838;
Syrien;HOMS;Homs;Homs, Syrien;100;;34,73218918;36,71767044;
Taiwan;TAIPEI;Taipei;Taipei, Taiwan;112;;25,04743958;121,516098;
Thailand;BANGKOK;Bangkok;Bangkok, Thailand;136;;13,75335026;100,5048294;
Tschechische Republik;PRAG;Prag;Prag, Tschechische Republik;173;;50,12691879;14,45672035;
Tunesien;TUNIS;Tunis;Tunis, Tunesien;265;;36,80001068;10,18270016;
Türkei;AKSARAY;Aksaray;Aksaray, Türkei;263;;38,36780167;34,03068161;
Türkei;ANKARA;Ankara;Ankara, Türkei;293;;39,94290161;32,86050034;
Türkei;AVANOS;Avanos;Avanos, Türkei;170;;38,70600128;34,84500122;
Türkei;ISTANBUL;Istanbul;Istanbul, Türkei;557;inklusive 108 f+r Istanbul/Türkei;41,06072998;28,98777008;
Türkei;IZMIR;Izmir;Izmir, Türkei;149;;38,42618179;27,14191055;
Türkei;KAYSERI;Kayseri;Kayseri, Türkei;106;;38,72098923;35,48337936;
Türkei;KIRSEHIR;Kirsehir;Kirsehir, Türkei;182;;39,31573868;34,11726379;
Türkei;ORDU;Ordu;Ordu, Türkei;160;;40,98109818;37,9048996;
Ukraine;CHARKOW;Charkow;Charkow, Ukraine;351;plus Charkov;50,00423813;36,23575974;
Ukraine;DNEPROPETROWSK;Dnepropetrowsk;Dnepropetrowsk, Ukraine;387;plus Dnepropetrovsk;48,47531128;35,01612091;
Ukraine;KIEW;Kiew;Kiew, Ukraine;608;;50,45056915;30,5242691;
Ukraine;ODESSA;Odessa;Odessa, Ukraine;381;;46,47969818;30,71549988;
Ukraine;SIMFEROPOL;Simferopol;Simferopol, Ukraine;147;;44,95748138;34,10826874;
Ungarn;BUDAPEST;Budapest;Budapest, Ungarn;325;;47,51303101;19,12298012;
Usbekistan;TASCHKENT;Taschkent;Taschkent, Usbekistan;236;;41,32051086;69,30666351;
Venezuela;CARACAS;Caracas;Caracas, Venezuela;103;;10,49536991;-66,84887695;
Vereinigte Staaten;NEW YORK;New York;New York, Vereinigte Staaten;179;;40,7820015;-73,83170319;
Vereinigtes Königreich;LONDON;London;London, Vereinigtes Königreich;351;;51,50642014;-0,127210006;
Vietnam;SAIGON;Saigon;Saigon, Vietnam;142;;10,77822971;106,70327;
Weißrussland;MINSK;Minsk;Minsk, Weißrussland;183;;53,8832016;27,50429916;
